batter,n,has_bangs_perc,n_bangs,on_base_bangs,obp_bangs,n_no_bangs,on_base_no_bangs,obp_no_bangs
Jose Altuve,241,0.0912863070539419,22,7,0.3181818181818182,219,76,0.3470319634703196
George Springer,223,0.34080717488789236,76,30,0.39473684210526316,147,41,0.2789115646258503
Alex Bregman,218,0.37155963302752293,81,29,0.35802469135802467,137,45,0.3284671532846715
Yuli Gurriel,199,0.3417085427135678,68,26,0.38235294117647056,131,38,0.2900763358778626
Carlos Beltran,194,0.3917525773195876,76,20,0.2631578947368421,118,32,0.2711864406779661
Josh Reddick,189,0.10052910052910052,19,9,0.47368421052631576,170,67,0.3941176470588235
Marwin Gonzalez,183,0.3770491803278688,69,14,0.2028985507246377,114,47,0.41228070175438597
Carlos Correa,145,0.33793103448275863,49,16,0.32653061224489793,96,37,0.3854166666666667
Brian McCann,125,0.224,28,7,0.25,97,26,0.26804123711340205
Evan Gattis,119,0.3025210084033613,36,11,0.3055555555555556,83,29,0.3493975903614458
Jake Marisnick,91,0.43956043956043955,40,14,0.35,51,19,0.37254901960784315
Norichika Aoki,69,0.11594202898550725,8,3,0.375,61,16,0.26229508196721313
Derek Fisher,54,0.18518518518518517,10,3,0.3,44,13,0.29545454545454547
